               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096892,            0.046117,                   0,             0.30288,              0.3283,             0.26061,            0.066223,            0.075606,            0.035971,                   0,           0.0033134,           0.0033134,             0.07018
                   1,            0.072353,            0.039648,                   0,             0.51048,             0.34717,             0.38071,             0.17658,            0.069981,            0.027726,                   0,           0.0064274,           0.0064274,             0.03996
                   2,            0.067221,            0.035659,                   0,             0.49917,             0.48302,             0.44378,             0.15242,             0.06394,            0.025317,                   0,           0.0093214,           0.0093214,            0.009521
                   3,             0.05952,            0.033223,                   0,             0.48899,             0.63553,             0.52941,             0.26748,            0.055124,            0.025089,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.050326,            0.033144,                   0,             0.66773,             0.65977,              0.6854,             0.38503,            0.046648,            0.024461,                   0,             0.00901,             0.00901,             0.00901
                   5,             0.04484,            0.032165,                   0,             0.83097,             0.70566,             0.74766,             0.43888,            0.042648,            0.025003,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.040366,            0.028987,                   0,             0.79346,             0.69811,             0.75346,             0.45883,            0.041855,            0.024428,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.038616,            0.030417,                   0,             0.86144,             0.70566,             0.77866,             0.50435,            0.038017,             0.02391,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.037015,            0.028581,                   0,             0.85569,             0.71698,             0.77535,             0.51113,            0.037932,            0.024681,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.037121,            0.029851,                   0,             0.87316,              0.7283,             0.78474,             0.50369,            0.037974,            0.023926,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.034138,            0.026778,                   0,             0.89805,             0.69804,             0.78875,             0.52485,            0.035896,            0.024041,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.032414,            0.027224,                   0,               0.841,             0.75849,             0.79209,                0.51,            0.036227,            0.024252,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.031522,            0.025945,                   0,             0.87972,             0.74717,             0.80174,             0.52879,            0.035098,            0.023416,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.031468,            0.025907,                   0,             0.80803,             0.79623,             0.80704,              0.5493,            0.034138,            0.023421,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.030928,            0.025943,                   0,             0.91425,              0.7242,              0.8183,             0.55719,            0.033633,            0.022837,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.030733,            0.025604,                   0,             0.84124,             0.78113,             0.80481,             0.56252,            0.033541,             0.02322,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.028099,            0.022956,                   0,              0.8823,              0.7434,             0.80634,             0.55355,            0.033174,            0.023543,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.027934,            0.024603,                   0,             0.88833,             0.72075,             0.78901,             0.55557,            0.033908,            0.024351,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.02746,            0.025121,                   0,             0.85122,             0.77723,             0.80514,             0.56718,            0.032148,            0.023235,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.026977,            0.024308,                   0,             0.87167,             0.74335,             0.80464,             0.56181,            0.033521,            0.024174,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.027311,            0.024079,                   0,             0.84481,              0.7806,             0.80917,             0.58004,            0.033391,            0.023311,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.025265,            0.022062,                   0,             0.87628,             0.75094,             0.80893,             0.57229,            0.032175,            0.023209,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.026168,            0.022117,                   0,             0.90782,              0.7434,             0.82058,             0.58459,            0.031706,            0.023504,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.025079,            0.022183,                   0,             0.89985,             0.74717,             0.82071,             0.59854,            0.031946,            0.022739,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.024467,            0.022507,                   0,             0.87282,             0.78113,             0.81939,             0.59394,            0.032287,            0.023165,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.024535,            0.021869,                   0,             0.86802,             0.81132,             0.82811,              0.6054,            0.030828,             0.02302,                   0,             0.00208,             0.00208,             0.00208
                  26,             0.02416,             0.02234,                   0,             0.89264,             0.78435,             0.82282,             0.59307,            0.031436,            0.023209,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.024247,            0.021048,                   0,             0.90121,              0.7918,             0.81954,             0.60019,             0.03143,            0.023231,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.024154,             0.02171,                   0,              0.9103,             0.76594,             0.81505,              0.6001,            0.031466,             0.02348,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.023745,            0.021277,                   0,             0.88829,             0.78113,             0.80958,             0.59848,            0.031393,             0.02368,                   0,             0.00076,             0.00076,             0.00076
